"Empresa";"Data";"Tipo Movimento";"Qtde Requisições";"Total Desconto";"Total Venda";
"2006";"13/11/2012 (Terça-feira)";"Saída para Oficina";"0001";"0,00";"40,60";
"2006";"14/11/2012 (Quarta-feira)";"Saída para Oficina";"0007";"520,44";"1.885,16";
"2006";"14/11/2012 (Quarta-feira)";"Saída por Venda Balcão";"0003";"86,08";"258,38";
"2006";"16/11/2012 (Sexta-feira)";"Saída para Oficina";"0005";"81,30";"187,39";
"2006";"16/11/2012 (Sexta-feira)";"Saída por Venda Balcão";"0002";"18,03";"76,25";
"2006";"17/11/2012 (Sábado)";"Saída para Oficina";"0003";"0,00";"74,70";
"2006";"17/11/2012 (Sábado)";"Saída por Venda Balcão";"0010";"60,09";"1.324,54";
"2006";"19/11/2012 (Segunda-feira)";"Saída para Oficina";"0004";"55,87";"321,27";
"2006";"19/11/2012 (Segunda-feira)";"Saída por Venda Balcão";"0003";"157,23";"665,48";
"2006";"21/11/2012 (Quarta-feira)";"Saída para Oficina";"0002";"10,91";"226,12";
"2006";"21/11/2012 (Quarta-feira)";"Saída por Venda Balcão";"0004";"34,26";"153,99";
"2006";"22/11/2012 (Quinta-feira)";"Saída para Oficina";"0007";"730,94";"2.174,50";
"2006";"22/11/2012 (Quinta-feira)";"Saída por Venda Balcão";"0005";"60,46";"244,88";
"2006";"23/11/2012 (Sexta-feira)";"Saída para Oficina";"0005";"47,70";"573,79";
"2006";"23/11/2012 (Sexta-feira)";"Saída por Brinde - Almoxarifado";"0001";"0,00";"31,90";
"2006";"23/11/2012 (Sexta-feira)";"Saída por Venda Balcão";"0003";"26,73";"401,35";
"2006";"24/11/2012 (Sábado)";"Saída para Oficina";"0001";"0,00";"53,95";
"2006";"24/11/2012 (Sábado)";"Saída por Brinde - Almoxarifado";"0001";"0,00";"31,90";
"2006";"24/11/2012 (Sábado)";"Saída por Venda Balcão";"0003";"0,00";"37,84";
"2006";"26/11/2012 (Segunda-feira)";"Saída para Oficina";"0006";"20,00";"289,68";
"2006";"26/11/2012 (Segunda-feira)";"Saída por Venda Balcão";"0001";"0,00";"60,93";
"2006";"27/11/2012 (Terça-feira)";"Saída para Oficina";"0004";"0,00";"528,83";
"2006";"27/11/2012 (Terça-feira)";"Saída por Venda Balcão";"0002";"0,09";"24,90";
"2006";"28/11/2012 (Quarta-feira)";"Saída para Oficina";"0007";"0,00";"358,34";
"2006";"28/11/2012 (Quarta-feira)";"Saída por Venda Balcão";"0004";"34,38";"229,03";
"2006";"29/11/2012 (Quinta-feira)";"Saída para Oficina";"0002";"0,00";"48,00";
"2006";"29/11/2012 (Quinta-feira)";"Saída por Venda Balcão";"0001";"0,00";"7,00";
"2006";"30/11/2012 (Sexta-feira)";"Entrada por Garantia";"0002";"0,00";"185,08";
"2006";"30/11/2012 (Sexta-feira)";"Saída para Garantia";"0001";"0,00";"144,01";
"2006";"30/11/2012 (Sexta-feira)";"Saída para Oficina";"0005";"49,19";"533,61";
"2006";"30/11/2012 (Sexta-feira)";"Saída por Brinde - Almoxarifado";"0001";"0,00";"31,90";
"2006";"30/11/2012 (Sexta-feira)";"Saída por Venda Balcão";"0002";"2,53";"331,00";
"2006";"30/11/2012 (Sexta-feira)";"Saída Simples Remessa para Garantia";"0001";"0,00";"90,04";
"2006";"01/12/2012 (Sábado)";"Saída para Oficina";"0006";"7,59";"544,08";
"2006";"01/12/2012 (Sábado)";"Saída por Venda Balcão";"0002";"0,00";"86,86";
"2006";"03/12/2012 (Segunda-feira)";"Saída para Oficina";"0002";"0,00";"175,78";
"2006";"03/12/2012 (Segunda-feira)";"Saída por Venda Balcão";"0003";"0,18";"159,00";
"2006";"04/12/2012 (Terça-feira)";"Saída para Oficina";"0006";"34,62";"685,71";
"2006";"04/12/2012 (Terça-feira)";"Saída por Venda Balcão";"0005";"0,00";"259,28";
"2006";"05/12/2012 (Quarta-feira)";"Saída para Oficina";"0004";"0,04";"169,80";
"2006";"05/12/2012 (Quarta-feira)";"Saída por Venda Balcão";"0007";"2,11";"243,28";
"2006";"06/12/2012 (Quinta-feira)";"Saída para Oficina";"0009";"879,61";"2.161,81";
"2006";"06/12/2012 (Quinta-feira)";"Saída por Brinde - Almoxarifado";"0001";"0,00";"31,90";
"2006";"06/12/2012 (Quinta-feira)";"Saída por Venda Balcão";"0002";"0,00";"101,82";
"2006";"07/12/2012 (Sexta-feira)";"Saída por Venda Balcão";"0002";"0,00";"29,25";
"2006";"08/12/2012 (Sábado)";"Saída para Oficina";"0007";"0,00";"343,21";
"2006";"08/12/2012 (Sábado)";"Saída por Venda Balcão";"0002";"0,00";"78,72";
"2006";"10/12/2012 (Segunda-feira)";"Saída para Oficina";"0004";"8,91";"194,80";
"2006";"10/12/2012 (Segunda-feira)";"Saída por Venda Balcão";"0001";"10,00";"160,00";
"2006";"11/12/2012 (Terça-feira)";"Saída para Oficina";"0007";"24,09";"722,77";
"2006";"11/12/2012 (Terça-feira)";"Saída por Brinde - Almoxarifado";"0002";"0,00";"63,80";
"2006";"11/12/2012 (Terça-feira)";"Saída por Venda Balcão";"0003";"0,00";"124,36";
"2006";"12/12/2012 (Quarta-feira)";"Saída para Oficina";"0001";"3,90";"60,00";
"2006";"12/12/2012 (Quarta-feira)";"Saída por Venda Balcão";"0003";"2,66";"31,82";
"2006";"13/12/2012 (Quinta-feira)";"Saída para Oficina";"0002";"0,00";"406,28";
"2006";"13/12/2012 (Quinta-feira)";"Saída por Venda Balcão";"0003";"15,53";"181,16";
"2006";"14/12/2012 (Sexta-feira)";"Saída para Oficina";"0003";"53,90";"407,90";
"2006";"14/12/2012 (Sexta-feira)";"Saída por Venda Balcão";"0004";"16,57";"675,72";
"2006";"15/12/2012 (Sábado)";"Saída para Oficina";"0001";"0,00";"53,95";
"2006";"17/12/2012 (Segunda-feira)";"Saída para Oficina";"0002";"3,33";"29,90";
"2006";"17/12/2012 (Segunda-feira)";"Saída por Brinde - Almoxarifado";"0001";"0,00";"31,90";
